molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL197193,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)CC(O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,active,582.6980000000001,2.4776200000000017,4.0,8.0,8.335640125448858
CHEMBL196253,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)C(CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,active,598.6720000000004,2.8249200000000014,3.0,8.0,7.0
CHEMBL196909,COC(=O)C1C(c2ccccc2)N1Cc1ccccc1,active,267.328,2.785100000000001,0.0,3.0,8.0
CHEMBL445656,CC(C)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,active,319.4450000000001,3.935900000000003,1.0,3.0,8.0
CHEMBL202391,C[C@H]1O[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,active,249.26600000000002,0.5857999999999992,2.0,3.0,8.0
CHEMBL196804,C[C@@H]1O[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O,active,249.26600000000002,0.5857999999999992,2.0,3.0,8.0
CHEMBL381454,C[C@@H]1O[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,339.3910000000001,2.2445999999999993,1.0,4.0,8.0
CHEMBL382936,C[C@H]1O[C@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,339.3910000000001,2.2445999999999993,1.0,4.0,8.0
CHEMBL371081,COC(=O)[C@H]1O[C@H]1C(=O)OC,active,160.12499999999997,-0.9002000000000003,0.0,5.0,8.0
CHEMBL370643,C[C@H]1O[C@H]1C(=O)O,active,102.08899999999998,-0.1417,1.0,2.0,8.0
CHEMBL198908,COC(=O)C1(C(=O)OC)NC1C,active,173.168,-0.9370999999999998,1.0,5.0,8.0
CHEMBL198907,CCOC(=O)N1C(C)C1(C(=O)OC)C(=O)OC,active,245.23099999999997,-0.06820000000000004,0.0,6.0,8.0
CHEMBL380569,COC(=O)C1(C(=O)OC)C(C)N1C(=O)OC(C)(C)C,active,273.28499999999997,0.7103999999999993,0.0,6.0,8.0
CHEMBL197491,COC(=O)CN1CC1C(=O)N[C@@H](Cc1ccccc1)C(=O)OC,active,320.34500000000014,-0.255899999999998,1.0,6.0,8.0
CHEMBL201935,CCOC(=O)[C@H]1N[C@@H]1C(=O)N[C@H](C(=O)OCc1ccccc1)[C@@H](C)CC,active,362.4260000000001,1.1642000000000003,2.0,6.0,8.0
CHEMBL198521,CCOC(=O)[C@H]1N[C@H]1C(=O)OCC,active,187.19499999999996,-0.5470000000000004,1.0,5.0,8.0
CHEMBL370363,COC(=O)[C@H]1N[C@H]1C(=O)OC,active,159.141,-1.3271999999999995,1.0,5.0,8.0
CHEMBL382725,CCOC(=O)C1C(C)N1Cc1ccccc1,active,219.284,1.8224,0.0,3.0,8.0
CHEMBL196963,CC1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)OCc2ccccc2)N1Cc1ccccc1,active,428.53200000000015,3.7302000000000026,1.0,4.0,7.468521082957745
CHEMBL383562,CCOC(=O)C1OC1C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,397.42700000000013,1.7877999999999992,1.0,6.0,7.657577319177793
CHEMBL200433,CC(C)[C@H](NC(=O)[C@@H]1O[C@@H]1C)C(=O)OCc1ccccc1,active,291.347,1.657899999999999,1.0,4.0,8.0
CHEMBL198753,C[C@@H]1O[C@@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,339.3910000000001,2.2445999999999993,1.0,4.0,7.552841968657781
CHEMBL199267,C[C@H]1O[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,339.3910000000001,2.2445999999999993,1.0,4.0,7.823908740944319
CHEMBL200073,COC(=O)C1CN1CCCC[C@H](NC(=O)OCc1ccccc1)C(=O)OC,active,378.42500000000007,1.4818999999999993,1.0,7.0,7.318758762624412
CHEMBL197657,COC(=O)C1CN1[C@@H](CCSC)C(=O)OC,active,247.31599999999997,0.13829999999999965,0.0,6.0,7.552841968657781
CHEMBL200464,COC(=O)C1CN1[C@@H](C)C(=O)OC,active,187.19499999999996,-0.5949,0.0,5.0,7.4089353929735005
CHEMBL200722,CCC(C)[C@@H](C(=O)OCc1ccccc1)N1CC1C(=O)OC,active,305.3740000000001,2.0017,0.0,5.0,7.522878745280337
CHEMBL382759,COC(=O)C1CN1[C@@H](CC(C)C)C(=O)OCc1ccccc1,active,305.37399999999997,2.0016999999999987,0.0,5.0,7.468521082957745
CHEMBL370196,COC(=O)C1CN1[C@@H](CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,active,397.42700000000013,2.0890999999999993,0.0,7.0,7.552841968657781
CHEMBL425206,COC(=O)C1CN1[C@H](C(=O)OCc1ccccc1)C(C)C,active,291.34700000000004,1.6115999999999997,0.0,5.0,7.698970004336019
CHEMBL198854,COC(=O)C1CN1[C@H](C(=O)OC)C(C)C,active,215.249,0.04119999999999968,0.0,5.0,7.522878745280337
CHEMBL199026,COC(=O)C1CN1CC(=O)OCc1ccccc1,active,249.26600000000002,0.5869999999999993,0.0,5.0,7.585026652029182
CHEMBL381440,COC(=O)CN1CC1C(=O)OC,active,173.168,-0.9833999999999998,0.0,5.0,7.522878745280337
CHEMBL383571,CCOC(=O)[C@H]1[C@H](C(=O)OCC)N1C(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C,active,497.5890000000003,1.6224000000000007,1.0,8.0,7.795880017344075
CHEMBL197012,CCOC(=O)[C@H]1[C@H](C(=O)OCC)N1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C(C)C)N1CCC1,active,455.5520000000003,1.3156000000000012,1.0,8.0,7.795880017344075
CHEMBL198858,CC(C)(C)OC(=O)N[C@H](C(=O)N1[C@H](C(=O)OCc2ccccc2)[C@H]1C(=O)OCc1ccccc1)N1CCCCC1,active,551.6400000000001,3.3893000000000004,1.0,8.0,7.5376020021010435
CHEMBL198695,CCOC(=O)[C@H]1N[C@@H]1C(=O)NCC(=O)NCC(=O)OCc1ccccc1,active,363.3700000000001,-1.134299999999996,3.0,7.0,7.267606240177032
CHEMBL383786,CC(C)[C@H](NC(=O)C1C(c2ccccc2)N1Cc1ccccc1)C(=O)OCc1ccccc1,active,442.55900000000014,4.496300000000004,1.0,4.0,7.657577319177793
CHEMBL440034,O=C(N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1)C1C(c2ccccc2)N1Cc1ccccc1,active,490.6030000000001,5.0830000000000055,1.0,4.0,7.522878745280337
CHEMBL197116,C[C@H]1[C@@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)OCc2ccccc2)N1Cc1ccccc1,active,428.53200000000015,3.7302000000000026,1.0,4.0,7.619788758288394
CHEMBL198695,CCOC(=O)[C@H]1N[C@@H]1C(=O)NCC(=O)NCC(=O)OCc1ccccc1,active,363.3700000000001,-1.134299999999996,3.0,7.0,7.1249387366083
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,inactive,329.137,2.6206000000000014,0.0,2.0,4.180456064458132
CHEMBL325480,O=C1Nc2ccc(I)cc2C1=O,active,273.029,1.426,1.0,2.0,7.6020599913279625
CHEMBL210381,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2,active,190.15799999999996,-0.07970000000000005,2.0,3.0,7.6020599913279625
CHEMBL383761,O=C(O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,331.327,3.267500000000002,1.0,3.0,7.337242168318426
CHEMBL208034,O=C1Nc2ccc(C(=O)O)cc2C1=O,active,191.14199999999997,0.5196000000000001,2.0,3.0,7.6020599913279625
CHEMBL379354,O=C(O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,active,281.26699999999994,2.1143,1.0,3.0,7.6020599913279625
CHEMBL273738,CCCCN1C(=O)C(=O)c2cc(C(=O)O)ccc21,active,247.24999999999997,1.7142000000000002,1.0,3.0,7.6020599913279625
CHEMBL379424,CCCN1C(=O)C(=O)c2cc(C(=O)O)ccc21,active,233.22299999999998,1.3241,1.0,3.0,7.6020599913279625
CHEMBL149556,CN1C(=O)C(=O)c2cc(C(=O)O)ccc21,active,205.16899999999998,0.5438999999999998,1.0,3.0,7.6020599913279625
CHEMBL210543,COC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,345.35400000000004,3.3559000000000028,0.0,4.0,7.6020599913279625
